ts_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,stdDevAX
7.145,-0.1201,0.0137,1.0227,0.0382,0.5038,0.5344,
7.165,-0.1155,0.0132,1.022,0.1603,0.5649,0.5344,
7.185,-0.1169,0.0181,1.0159,0.1679,0.4733,0.6107,
7.205,-0.1204,0.0166,1.0303,0.1832,0.5115,0.5725,
7.225,-0.1182,0.0125,1.0125,0.1756,0.4275,0.5649,
7.245,-0.1199,0.0132,1.0227,0.2214,0.4656,0.5573,
7.265,-0.1189,0.0151,1.0208,0.0611,0.6031,0.5725,
7.285,-0.1157,0.0112,1.0154,0.1298,0.5267,0.5954,
7.305,-0.1162,0.0156,1.0288,0.1145,0.4962,0.5954,
7.325,-0.1169,0.0142,1.0205,0.0687,0.5802,0.6336,
7.345,-0.1167,0.0125,1.0173,0.1527,0.5267,0.5802,
7.365,-0.1157,0.0132,1.0244,0.0611,0.4885,0.626,
7.385,-0.1169,0.0149,1.0215,0.2595,0.6107,0.6336,
7.405,-0.116,0.0134,1.0193,0.1832,0.5344,0.5038,
7.425,-0.114,0.0166,1.0278,0.1679,0.4962,0.626,
7.445,-0.1174,0.0166,1.0283,0.1374,0.4809,0.6336,
7.465,-0.1199,0.0154,1.0249,0.1221,0.687,0.626,
7.485,-0.1162,0.0112,1.0225,0.145,0.5191,0.5649,
7.505,-0.1145,0.0156,1.021,0.1756,0.5038,0.5115,
7.525,-0.1133,0.0127,1.0222,0.0534,0.5878,0.6107,
7.545,-0.1177,0.0115,1.022,0.1221,0.6183,0.5954,
7.565,-0.1177,0.0132,1.0161,0.1832,0.5344,0.4962,
7.585,-0.1191,0.0144,1.0225,0.145,0.6641,0.542,
7.605,-0.1179,0.0171,1.0237,0.2748,0.5649,0.5267,
7.625,-0.1155,0.0168,1.0205,0.1374,0.6031,0.626,
7.645,-0.1174,0.0151,1.0237,0.1221,0.5191,0.5878,
7.665,-0.1184,0.0173,1.0244,0.0992,0.5573,0.6489,
7.685,-0.1165,0.0156,1.0227,0.2137,0.5725,0.5649,
7.705,-0.1147,0.0156,1.0273,0.1298,0.4733,0.6718,
7.725,-0.1174,0.0132,1.0149,0.1527,0.6107,0.5649,
7.745,-0.1199,0.0166,1.0227,0.1832,0.5115,0.4962,
7.766,-0.116,0.0142,1.0234,0.0916,0.6107,0.6489,
7.785,-0.1147,0.0164,1.02,0.1756,0.5191,0.5725,
7.805,-0.1162,0.0151,1.0212,0.1298,0.5954,0.7023,
7.825,-0.1172,0.0127,1.0203,0.1603,0.6031,0.4885,
7.845,-0.1177,0.0142,1.0198,0.0382,0.5573,0.5573,
7.865,-0.1194,0.0132,1.0247,0.1527,0.5725,0.6947,
7.885,-0.114,0.019,1.0229,0.084,0.6794,0.6336,
7.905,-0.1172,0.0154,1.0239,0.1374,0.626,0.5344,
7.925,-0.1155,0.0183,1.0183,0.0687,0.542,0.6031,
7.945,-0.1191,0.0166,1.0186,0.084,0.4122,0.5115,
7.965,-0.1189,0.0144,1.0173,0.1756,0.4656,0.6031,
7.985,-0.1206,0.0144,1.0239,0.2061,0.542,0.5649,
8.005,-0.1179,0.0164,1.0183,0.1374,0.4351,0.6489,
8.025,-0.1167,0.0144,1.0188,0.1145,0.5573,0.5802,
8.045,-0.1155,0.0168,1.021,0.2443,0.6107,0.6336,
8.065,-0.1213,0.0166,1.0229,0.1908,0.6565,0.5344,
8.085,-0.1182,0.0139,1.022,0.2443,0.5954,0.5115,
8.105,-0.1199,0.0139,1.0181,0.0992,0.5725,0.6107,
8.125,-0.1216,0.0154,1.0195,0.1756,0.687,0.6489,
8.145,-0.1155,0.0127,1.0183,0.1221,0.4885,0.6107,
8.165,-0.1167,0.0154,1.0164,0.1756,0.5191,0.6412,
8.185,-0.1167,0.0127,1.0193,0.1298,0.4962,0.687,
8.205,-0.1199,0.0142,1.0171,0.1298,0.5573,0.5496,
8.225,-0.1155,0.0166,1.0229,0.145,0.542,0.6718,
8.245,-0.1165,0.0154,1.0171,0.1145,0.542,0.5191,
8.265,-0.1169,0.0156,1.019,0.1985,0.687,0.6336,
8.285,-0.1179,0.0168,1.0188,0.1374,0.5649,0.626,
8.305,-0.1174,0.0154,1.0281,0.1374,0.5496,0.5649,
8.325,-0.1143,0.0134,1.0234,0.145,0.5344,0.6336,
8.345,-0.1147,0.0178,1.0293,0.1985,0.6183,0.5802,
8.365,-0.1189,0.0166,1.0247,0.145,0.5725,0.6107,
8.385,-0.1179,0.0146,1.0198,0.1603,0.5038,0.6336,
8.406,-0.1194,0.0168,1.0237,0.2137,0.4885,0.5878,
8.425,-0.1213,0.0159,1.0188,0.1756,0.6641,0.5191,
8.445,-0.1184,0.019,1.0227,0.229,0.5115,0.6183,
8.465,-0.1211,0.0208,1.0234,0.1374,0.5115,0.626,
8.485,-0.1182,0.0168,1.0205,0.1527,0.687,0.6565,
8.505,-0.1169,0.0198,1.0178,0.1832,0.4885,0.4656,
8.525,-0.1143,0.0142,1.0183,0.1374,0.5878,0.5649,
8.545,-0.1199,0.0139,1.0134,0.1908,0.5038,0.5725,
8.565,-0.1169,0.0151,1.0227,0.1832,0.6183,0.5267,
8.585,-0.1184,0.0166,1.0186,0.1221,0.4733,0.5649,
8.605,-0.113,0.0156,1.0237,0.1527,0.6107,0.687,
8.625,-0.1191,0.0134,1.0264,0.229,0.5573,0.5344,
8.645,-0.1189,0.0156,1.0244,0.0992,0.6641,0.7481,
8.665,-0.1165,0.0183,1.0205,0.1908,0.5878,0.6336,
8.685,-0.115,0.0171,1.0222,0.1145,0.5725,0.5802,
8.705,-0.1204,0.0173,1.0159,0.1145,0.5802,0.5878,
8.725,-0.1196,0.019,1.0266,0.2443,0.6489,0.5115,
8.745,-0.1169,0.0117,1.0193,0.1985,0.626,0.6183,
8.765,-0.1162,0.0166,1.0168,0.1374,0.5649,0.5573,
8.785,-0.116,0.0154,1.0205,0.0763,0.542,0.5267,
8.805,-0.1179,0.0149,1.0237,0.1756,0.4962,0.6489,
8.825,-0.1167,0.0161,1.0208,0.1374,0.6107,0.7099,
8.845,-0.1165,0.0127,1.0234,0.1603,0.6489,0.6489,
8.865,-0.1157,0.0146,1.0176,0.0916,0.6107,0.6794,
8.885,-0.1177,0.0164,1.0198,0.0992,0.5344,0.5954,
8.905,-0.1167,0.0134,1.0254,0.145,0.4656,0.6718,
8.925,-0.1194,0.0117,1.019,0.084,0.6947,0.6565,
8.945,-0.1177,0.0144,1.022,0.1832,0.5649,0.5496,
8.965,-0.1174,0.0132,1.0212,0.2137,0.6489,0.542,
8.985,-0.1211,0.0156,1.0212,0.1908,0.5115,0.6183,
9.005,-0.1162,0.0151,1.0264,0.1756,0.4275,0.6718,
9.025,-0.1116,0.0146,1.0208,0.2137,0.4885,0.6489,
9.046,-0.1167,0.0183,1.0161,0.1832,0.5954,0.6947,
